venue_id,name,address,city,country,capacity,latitude,longitude
5531,The Harry Williams Riverside Stadium,Acrebottom,"Ramsbottom, Greater Manchester",England,2000,,
11960,WW Martin Community Stadium,Price&apos;s Avenue,"Ramsgate, Kent",England,3000,,
20345,Runcorn Linnets' APEC Taxi's Stadium,Murdishaw Avenue,"Runcorn, Cheshire",England,1600,,
21974,Home of Football Stadium,Sheffield Road,"Dronfield, North East Derbyshire",England,2089,,
5535,Mackoy Stadium,"Portsmouth Road, Old Netley, Sholing","Southampton, Hampshire",England,1000,,
5536,Thornhill Park,Wisloe Road,"Cambridge, Gloucestershire",England,1500,,
5537,Julius Martin Lane,Julius Martin Lane,"Soham, Cambridgeshire",England,2000,,
5538,Sir Halley Stewart Field,Winfrey Avenue,"Spalding, Lincolnshire",England,3500,,
10618,Rowley Park Stadium,Kester Way,"St Neots, Cambridgeshire",England,2000,,
5540,Wheatsheaf Park,Wheatsheaf Lane,"Staines, Surrey",England,3002,51.4197267,-0.5020433
21975,Young Guns Arena,Ings Lane,"Tadcaster, North Yorkshire",England,1500,,
5542,ASM Stadium,Tythrop Way (Kingsey Road),"Thame, Oxfordshire",England,2500,,
5543,Jubilee Field,"Three Bridges Road, Three Bridges","Crawley, West Sussex",England,1500,,
21976,Pennybridge Lane,Pennybridge Lane,"Flixton, Greater Manchester",England,2500,,
5545,Wodson Park,Wadesmill Road,"Ware, Hertfordshire",England,3300,51.8243123,-0.0352133
10629,Herns Way,"Herns Way, Panshanger","Welwyn Garden City, Hertfordshire",England,1000,,
5547,The Belmont Ground,Belmont Road,"Whitstable, Kent",England,3000,,
5548,Select Security Stadium,Lowerhouse Lane,"Widnes, Cheshire",England,13350,,
19845,Fountain Fresh Park,"Lynn Road, Walsoken","Wisbech, Cambridgeshire",England,1118,,
5552,Hornchurch Stadium,"Bridge Avenue, Upminster, Havering",London,England,3800,51.5565905,0.2383171
5553,Hayden Road,Hayden Road,"Rushden, Northamptonshire",England,1500,,
5554,Lye Meadow,Redditch Road,"Alvechurch, Worcestershire",England,3000,52.3448534,-1.9561750
5555,Hurst Cross,Surrey Street,"Ashton-under-Lyne, Greater Manchester",England,4500,,
5556,The Skuna Stadium,Alder Street,"Atherton, Greater Manchester",England,2500,,
5557,Sir Tom Finney Stadium,"Brownedge Road, Bamber Bridge","Preston, Lancashire",England,2264,53.7279184,-2.6720138
